x,y
0.0,1.0
0.0,1.1875
0.0,1.375
0.0,1.5625
0.0,1.75
-0.1875,1.9375
-0.375,2.125
-0.375,2.3125
-0.375,2.5
-0.375,2.6875
-0.375,2.875
-0.375,3.0625
-0.375,3.25
-0.375,3.4375
-0.375,3.625
-0.375,3.8125
-0.5625,4.0
-0.5625,4.1875
-0.5625,4.375
-0.5625,4.5625
-0.5625,4.75
-0.5625,4.9375
-0.5625,5.125
-0.75,5.3125
-0.9375,5.5
-0.9375,5.6875
-0.9375,5.875
-1.125,6.0625
-1.3125,6.25
-1.3125,6.4375
-1.5,6.625
-1.6875,6.8125
-1.6875,7.0
-1.875,7.1875
-2.0625,7.375
-2.25,7.5625
-2.4375,7.75
-2.625,7.9375
-2.8125,8.125
-3.0,8.3125
-3.1875,8.5
-3.375,8.6875
-3.5625,8.875
-3.75,9.0625
-3.9375,9.25
-4.125,9.4375
-4.3125,9.625
-4.5,9.8125
-4.6875,10.0
-4.875,10.1875
-5.0625,10.375
-5.25,10.375
-5.4375,10.375
-5.625,10.375
-5.8125,10.375
-6.0,10.5625
-6.1875,10.75
-6.375,10.75
-6.5625,10.75
-6.75,10.75
-6.9375,10.75
-7.125,10.75
-7.3125,10.75
-7.5,10.9375
-7.6875,10.9375
-7.875,11.125
-8.0625,11.125
-8.25,11.3125
-8.4375,11.3125
-8.625,11.3125
-8.8125,11.3125
-9.0,11.3125
-9.1875,11.3125
-9.375,11.3125
-9.5625,11.3125
-9.75,11.5
-9.9375,11.6875
-10.125,11.875
-10.3125,11.875
-10.5,11.875
-10.6875,12.0625
-10.875,12.25
-11.0625,12.4375
-11.25,12.4375
-11.4375,12.4375
-11.625,12.4375
-11.8125,12.4375
-12.0,12.625
-12.1875,12.8125
-12.375,13.0
-12.5625,13.0
-12.75,13.1875
-12.9375,13.1875
-13.125,13.1875
-13.3125,13.1875
-13.5,13.1875
-13.6875,13.1875
-13.875,13.1875
-14.0625,13.1875
-14.25,13.375
-14.4375,13.375
-14.625,13.5625
-14.8125,13.75
-15.0,13.75
-15.1875,13.9375
-15.375,13.9375
-15.5625,14.125
-15.75,14.125
-15.9375,14.125
-16.125,14.125
-16.3125,14.125
-16.5,14.125
-16.6875,14.3125
-16.875,14.3125
-17.0625,14.5
-17.25,14.5
-17.4375,14.5
-17.625,14.5
-17.8125,14.5
-18.0,14.6875
-18.1875,14.875
-18.375,14.875
-18.5625,14.875
-18.75,14.875
-18.9375,14.875
-19.125,14.875
-19.3125,15.0625
-19.5,15.25
-19.6875,15.25
-19.875,15.25
-20.0625,15.25
-20.25,15.4375
-20.4375,15.4375
-20.625,15.4375
-20.8125,15.625
-21.0,15.625
-21.1875,15.625
-21.375,15.625
-21.5625,15.8125
-21.75,15.8125
-21.9375,15.8125
-22.125,15.8125
-22.3125,16.0
-22.5,16.1875
-22.6875,16.1875
-22.875,16.375
-23.0625,16.375
-23.25,16.375
-23.4375,16.5625
-23.625,16.75
-23.8125,16.75
-24.0,16.9375
-24.1875,17.125
-24.375,17.3125
-24.5625,17.3125
-24.75,17.5
-24.9375,17.5
-25.125,17.6875
-25.3125,17.875
-25.5,17.875
-25.6875,18.0625
-25.875,18.25
-26.0625,18.4375
-26.25,18.625
-26.4375,18.625
-26.625,18.8125
-26.8125,19.0
-27.0,19.1875
-27.1875,19.1875
-27.375,19.375
-27.5625,19.5625
-27.75,19.75
-27.9375,19.75
-28.125,19.9375
-28.3125,20.125
-28.5,20.3125
-28.6875,20.5
-28.875,20.6875
-29.0625,20.6875
-29.25,20.875
-29.4375,21.0625
-29.625,21.25
-29.8125,21.4375
-30.0,21.625
-30.1875,21.8125
-30.375,21.8125
-30.5625,22.0
-30.75,22.1875
-30.9375,22.375
-31.125,22.5625
-31.3125,22.75
-31.5,22.9375
-31.6875,23.125
-31.875,23.3125
-32.0625,23.3125
-32.25,23.5
-32.4375,23.6875
-32.625,23.875
-32.8125,24.0625
-33.0,24.25
-33.1875,24.25
-33.375,24.25
-33.5625,24.4375
-33.75,24.4375
-33.9375,24.4375
-34.125,24.4375
-34.3125,24.625
-34.5,24.625
-34.6875,24.625
-34.875,24.625
-35.0625,24.625
-35.25,24.625
-35.4375,24.625
-35.625,24.625
-35.8125,24.625
-36.0,24.625
-36.1875,24.8125
-36.375,24.8125
-36.5625,25.0
-36.75,25.0
-36.9375,25.0
-37.125,25.0
-37.3125,25.0
-37.5,25.1875
-37.6875,25.1875
-37.875,25.1875
-38.0625,25.1875
-38.25,25.1875
-38.4375,25.1875
-38.625,25.1875
-38.8125,25.1875
-39.0,25.1875
-39.1875,25.1875
-39.375,25.0
-39.5625,25.0
-39.75,24.8125
-39.9375,24.625
-40.125,24.4375
-40.3125,24.4375
-40.5,24.25
-40.6875,24.25
-40.875,24.0625
-41.0625,23.875
-41.25,23.6875
-41.4375,23.5
-41.625,23.3125
-41.8125,23.3125
-42.0,23.3125
-42.1875,23.3125
-42.375,23.125
-42.5625,22.9375
-42.75,22.9375
-42.9375,22.75
-43.125,22.75
-43.3125,22.75
-43.5,22.75
-43.6875,22.5625
-43.875,22.375
-44.0625,22.1875
-44.25,22.1875
-44.4375,22.0
-44.625,21.8125
-44.8125,21.8125
-45.0,21.8125
-45.1875,21.8125
-45.375,21.625
-45.5625,21.4375
-45.75,21.4375
-45.9375,21.4375
-46.125,21.4375
-46.3125,21.4375
-46.5,21.4375
-46.6875,21.25
-46.875,21.25
-46.875,21.0625
-46.875,20.875
-46.875,20.6875
-46.875,20.5
-46.875,20.3125
-46.875,20.125
-46.875,19.9375
-46.875,19.75
-46.875,19.5625
-46.875,19.375
-46.875,19.1875
-46.875,19.0
-46.875,18.8125
-46.875,18.625
-46.875,18.4375
-46.875,18.25
-46.875,18.0625
-46.875,17.875
-46.875,17.6875
-46.875,17.5
-46.875,17.3125
-46.875,17.125
-46.875,16.9375
-46.875,16.75
-46.875,16.5625
-46.875,16.375
-46.875,16.1875
-46.875,16.0
-46.875,15.8125
-46.875,15.625
-46.875,15.4375
-46.875,15.25
-46.875,15.0625
-46.875,14.875
-46.875,14.6875
-46.875,14.5
-46.6875,14.3125
-46.5,14.125
-46.3125,13.9375
-46.3125,13.75
-46.3125,13.5625
-46.3125,13.375
-46.125,13.1875
-45.9375,13.0
-45.9375,12.8125
-45.9375,12.625
-45.9375,12.4375
-45.9375,12.25
