time[s],v[m/s],w[rad/s],wp_x,wp_y,theta_wp[rad]
0.00,1.00,1.00,-1.00,5.90,0.15
0.10,2.00,-1.47,-1.00,6.00,0.05
0.20,2.00,1.00,-1.00,6.20,0.20
0.30,2.00,-1.57,-1.00,6.40,0.10
0.40,2.00,1.00,-1.00,6.60,0.25
0.50,2.00,-1.57,-1.00,6.80,0.16
0.60,2.00,1.00,-1.00,7.00,0.31
0.70,2.00,-1.19,-1.00,7.19,0.22
0.80,2.00,1.00,-1.00,7.38,0.34
0.90,2.00,-0.48,-1.00,7.57,0.24
1.00,2.00,1.00,-1.00,7.77,0.29
1.10,2.00,-0.20,-1.00,7.96,0.20
1.20,0.00,1.00,-1.54,8.00,0.70
1.30,0.00,1.00,-1.54,8.00,0.60
1.40,1.00,1.00,-1.54,8.00,0.50
1.50,2.00,1.00,-1.82,8.00,0.44
1.60,2.00,-0.34,-2.09,8.09,0.18
1.70,2.00,1.00,-2.24,8.24,0.23
1.80,2.00,-0.30,-2.39,8.39,0.14
1.90,2.00,1.00,-2.54,8.54,0.18
2.00,2.00,-0.73,-2.68,8.68,0.09
2.10,2.00,1.00,-2.83,8.83,0.18
2.20,2.00,-1.21,-2.97,8.97,0.09
2.30,2.00,1.00,-3.30,9.00,0.45
2.40,2.00,1.00,-3.63,9.00,0.39
2.50,2.00,1.00,-3.94,9.00,0.33
2.60,2.00,1.00,-4.24,9.00,0.27
2.70,2.00,1.00,-4.52,9.00,0.20
2.80,2.00,1.00,-4.79,9.00,0.13
2.90,2.00,0.49,-5.05,9.00,0.06
3.00,2.00,1.00,-5.31,9.00,0.03
3.10,2.00,-1.18,-5.56,9.00,-0.05
3.20,2.00,1.00,-5.80,9.00,0.08
3.30,2.00,-1.57,-6.03,9.03,-0.20
3.40,2.00,1.00,-6.17,9.17,-0.05
3.50,2.00,-1.57,-6.31,9.31,-0.16
3.60,2.00,1.00,-6.45,9.45,-0.01
3.70,2.00,-1.57,-6.60,9.60,-0.11
3.80,2.00,1.00,-6.74,9.74,0.04
3.90,2.00,-1.57,-6.88,9.88,-0.07
4.00,2.00,1.00,-7.04,10.00,0.29
4.10,2.00,-0.50,-7.29,10.00,0.21
4.20,2.00,1.00,-7.53,10.00,0.29
4.30,2.00,0.56,-7.76,10.00,0.21
4.40,2.00,1.00,-8.00,10.00,0.17
4.50,2.00,0.40,-8.23,10.00,0.09
4.60,2.00,1.00,-8.45,10.00,0.07
4.70,2.00,-0.91,-8.68,10.00,-0.02
4.80,2.00,1.00,-8.90,10.00,0.08
4.90,2.00,-1.57,-9.08,10.08,-0.21
5.00,2.00,1.00,-9.23,10.23,-0.07
5.10,2.00,-1.57,-9.38,10.38,-0.18
5.20,2.00,1.00,-9.52,10.52,-0.03
5.30,2.00,-1.57,-9.67,10.67,-0.14
5.40,2.00,1.00,-9.82,10.82,0.00
5.50,2.00,-1.57,-9.96,10.96,-0.10
5.60,2.00,1.00,-10.17,11.00,0.26
5.70,2.00,-0.82,-10.40,11.00,0.18
5.80,2.00,1.00,-10.62,11.00,0.28
